pitcher_name,pitcher_id,pitcher_team,pitch_type,pitch_count,swing_count,whiff_count,csw_count,two_strike_pitch_count,strikeout_count,terminal_pa_count,batted_ball_count,hardhit_count,barrel_count,sweetspot_count,exit_velocity_sum,xwoba_frontier,whiff_pct,csw_pct,putaway_pct,k_pct,avg_exit_velocity,hardhit_pct,barrel_pct,sweetspot_pct,whiff_pct_z,whiff_pct_score_component,csw_pct_z,csw_pct_score_component,putaway_pct_z,putaway_pct_score_component,k_pct_z,k_pct_score_component,avg_exit_velocity_z,avg_exit_velocity_score_component,hardhit_pct_z,hardhit_pct_score_component,barrel_pct_z,barrel_pct_score_component,sweetspot_pct_z,sweetspot_pct_score_component,pitch_value_raw,pitch_value_20_80,pitch_value_0_100,overall_rank,pitch_type_rank,pitcher_id_key,ivb,hb,spin_rate,velocity,extension,release_height,release_side,cluster,movement_predicted_pvs,archetype,cluster_rank,movement_quality_0_100,archetype_pitch_value_rank
"Foster, Kobe",816330.0,WAS_WIL3,Curveball,133,49,9,46,36,3,30,36,5,0,13,2844.28122,0.2553414336281319,0.1836734693877551,0.3458646616541353,0.0833333333333333,0.1,79.00781166666667,0.1388888888888889,0.0,0.3611111111111111,-0.5526110283337429,0.0017981962861979,1.1385259062409343,-0.033399795985484,-1.0692136931895693,-0.0155249828251125,-0.800861033780617,-0.0349760039283008,-0.1711412202099465,0.1008021787036585,-0.438131215609949,0.1047208087614432,-0.7535608244918718,-0.0370382680845999,0.5285893829605249,-0.1605891546690881,-0.0742070217412859,49.1528387547278,48.924731182795696,381,44,816330,-8.048526691729323,15.09310827067669,2231.7122413533834,67.60930240601503,5.462939022556391,6.110319774436091,-1.064098045112782,3,56.80685589307699,Tight High-Spin Breakers,1,99.73118279569893,137
"Westcott, Zac",686170.0,FLO_Y'A,Curveball,163,63,11,52,33,4,40,44,15,1,21,3874.75979,0.3789909855560776,0.1746031746031746,0.3190184049079754,0.1212121212121212,0.1,88.0627225,0.3409090909090909,0.0227272727272727,0.4772727272727273,-0.6342293661134705,0.0020637823573332,0.6971389406943679,-0.0204512679642099,-0.653338878169632,-0.009486480511023,-0.800861033780617,-0.0349760039283008,2.446583084297185,-1.441037436651042,2.00471575141754,-0.479161144756566,0.0078594693144525,0.0003863007762746,1.8007191654165504,-0.5470710874877059,-2.52973333816524,21.12009086635588,0.2688172043010753,743,72,686170,-15.222359877300612,-9.16518208588957,1872.2270214723928,67.09701552147239,5.48063263803681,5.589307423312883,2.044855828220859,3,56.677700846735085,Tight High-Spin Breakers,1,99.59677419354838,216
"Kassebaum, Torin",10120793.0,LON_ISL22,Curveball,55,21,2,10,14,0,15,16,4,0,5,1328.16605,0.309321788561639,0.0952380952380952,0.1818181818181818,0.0,0.0,83.010378125,0.25,0.0,0.3125,-1.348389821686086,0.0043876604797665,-1.5586090659836296,0.0457233555596957,-1.9841382862334305,-0.0288096879161094,-1.5987282525281266,-0.0698212589726608,0.985978456751812,-0.5807413110268173,0.9054346162551696,-0.2164142656734619,-0.7535608244918718,-0.0370382680845999,-0.0037692760020508,0.001145132434355,-0.881568643199832,39.93584741657144,13.844086021505376,642,63,10120793,1.1112870909090908,10.247508363636364,2155.4375472727274,71.56442527272726,5.305760363636364,4.3057965454545455,-3.112567272727273,3,55.608555808148154,Tight High-Spin Breakers,1,99.05913978494624,195
"Campbell, Tyler",809429.0,MIS_MUD,Slider,169,90,23,44,44,14,54,59,8,1,25,4630.70557,0.2744206403565506,0.2555555555555555,0.2603550295857988,0.3181818181818182,0.2592592592592592,78.48653508474577,0.135593220338983,0.0169491525423728,0.423728813559322,0.0942142985705966,-0.0003065733275487,-0.2673623477721749,0.0078433418342445,1.509210159934041,0.0219137315222422,0.4698163886691195,0.0205182911423464,-0.3218393775944978,0.1895633934031592,-0.4779827445212033,0.1142460016472244,-0.1857219613142759,-0.0091284201205579,1.2143395199292664,-0.3689248465311506,-0.0242750804300403,49.72287113963565,51.20967741935484,364,103,809429,8.560756153846155,3.795383136094675,2220.090724852071,74.48491538461538,5.736912189349112,4.616514852071006,-2.7703903550295856,3,55.38121136822544,Tight High-Spin Breakers,1,98.9247311827957,133
"Huter, Blayne",1000145980.0,SUS_COU1,Curveball,103,52,8,28,36,4,30,37,6,0,12,3036.3136,0.2746176629908982,0.1538461538461538,0.2718446601941747,0.1111111111111111,0.1333333333333333,82.06252972972973,0.1621621621621621,0.0,0.3243243243243243,-0.8210097929555396,0.0026715658662773,-0.0784580533137905,0.0023016454520133,-0.7642388288416152,-0.0110967477947802,-0.5349052941981142,-0.0233609189135142,0.7119607632640811,-0.4193448895625437,-0.1567086427192832,0.0374560296568349,-0.7535608244918718,-0.0370382680845999,0.1257233707726293,-0.0381956401043202,-0.4866072234846328,44.44480088632445,29.435483870967744,526,53,1000145980,-5.0568,-14.241019417475728,2136.9634834951457,73.69118194174757,6.006360970873786,5.857499708737864,1.9373958252427184,3,55.2111313939676,Tight High-Spin Breakers,1,98.65591397849462,167
"Pierson, Kenny",1000055344.0,LAK_ERI24,Slider,82,21,3,13,29,1,12,14,3,1,7,1079.34917,0.2838263844703131,0.1428571428571428,0.1585365853658536,0.0344827586206896,0.0833333333333333,77.09636928571429,0.2142857142857142,0.0714285714285714,0.5,-0.9198935483425172,0.0029933336063065,-1.9413884347551345,0.0569525711219766,-1.6055487994566606,-0.0233125685681107,-0.9338389035718688,-0.0407835464356942,-0.7237285697026047,0.4262761275548341,0.4735741702985231,-0.1131922774622421,1.6394743846137207,0.0805818054781489,2.0496141228535985,-0.6226871178217832,-0.233171672526564,47.33806855706342,41.39784946236559,437,116,1000055344,-1.6418667073170732,7.017793902439025,2095.1919024390245,72.56936682926829,4.644698292682927,4.90139487804878,-2.7092291463414635,3,54.55798439540382,Tight High-Spin Breakers,1,97.71505376344086,154
"Johnston, Spencer",800918.0,DOW_EAS1,Curveball,66,31,9,21,26,6,21,18,8,1,8,1537.99775,0.3244161308787807,0.2903225806451613,0.3181818181818182,0.2307692307692307,0.2857142857142857,85.44431944444445,0.4444444444444444,0.0555555555555555,0.4444444444444444,0.4070626529795045,-0.0013245818727953,0.6833843796780397,-0.0200477641622349,0.54949904834957,0.0079787261820357,0.6808923724647574,0.0297366125826533,1.689617340107708,-0.99518461332344,3.256674822019127,-0.7784006459345456,1.1076887825902546,0.0544440113530936,1.441204226896369,-0.4378479325607051,-2.140646187735938,25.561982578790897,0.4032258064516129,742,71,800918,-4.667329848484848,-5.969047575757576,2132.5676606060606,74.40371075757575,5.683788939393939,6.434268939393939,1.715239393939394,3,54.406016515076054,Tight High-Spin Breakers,1,97.17741935483872,215
"Baker, Luke",694914.0,EVA_OTT,Curveball,59,22,6,23,19,4,13,11,2,0,2,913.59812,0.2481372374651539,0.2727272727272727,0.3898305084745763,0.2105263157894736,0.3076923076923077,83.05437454545455,0.1818181818181818,0.0,0.1818181818181818,0.2487326516853994,-0.0008093760485842,1.861380935873154,-0.0546054711347748,0.3272501593510609,0.0047516723137774,0.856247805156518,0.0373949103946006,0.9986975769347756,-0.5882328728145827,0.0809737648833919,-0.0193541063611336,-0.7535608244918718,-0.0370382680845999,-1.4349152812650794,0.4359373068552999,-0.2219562048799974,47.46610643427268,41.66666666666667,435,47,694914,-7.376609827586207,9.671356379310344,2694.354512068965,75.5467501724138,5.509847586206897,5.996036206896552,-1.645571896551724,3,53.97171383052773,Tight High-Spin Breakers,1,96.23655913978494,152
"Martzolf, Max",824782.0,OTT_TIT,Curveball,71,26,5,15,27,6,27,19,4,0,6,1568.11746,0.2941087616554663,0.1923076923076923,0.2112676056338028,0.2222222222222222,0.2222222222222222,82.53249789473684,0.2105263157894736,0.0,0.3157894736842105,-0.4749166491011179,0.001545378776175,-1.0744226880473065,0.0315192639765557,0.4556606285502002,0.0066161923265489,0.1743100113552276,0.0076126411259168,0.8478259430022261,-0.4993694804283111,0.4281151759872973,-0.1023268050189558,-0.7535608244918718,-0.0370382680845999,0.0322549941533112,-0.009799293008735,-0.6012403703354054,43.13612743256228,22.983870967741936,574,56,824782,-4.24163647887324,11.133017605633803,2155.139523098592,73.92538112676056,5.434835774647887,4.82644028169014,-1.5460840845070425,3,53.9471281864191,Tight High-Spin Breakers,1,96.10215053763442,181
"Villalobos, Jonaiker",665690.0,FLO_Y'A,Curveball,103,28,3,30,26,4,17,21,5,0,9,1745.98274,0.2860616048924843,0.1071428571428571,0.2912621359223301,0.1538461538461538,0.2352941176470588,83.14203523809523,0.238095238095238,0.0,0.4285714285714285,-1.241265753350194,0.0040390787614015,0.2407902043208815,-0.0070638214339573,-0.2950467298447635,-0.0042840785173459,0.2786063798189542,0.0121675764258331,1.0240397950856934,-0.6031594393054734,0.76148113426962,-0.1820069362697217,-0.7535608244918718,-0.0370382680845999,1.2673728280514456,-0.3850367367718255,-1.2023826251956893,36.2733749697472,7.526881720430108,689,67,665690,-5.20233067961165,5.571215339805826,2259.5791893203887,74.54563116504855,5.327678834951456,5.803901941747573,-1.4113346601941748,3,53.916108770495974,Tight High-Spin Breakers,1,95.96774193548387,204
